window,strategy,metric,variable,episode_id,seg_start,seg_end,seg_length,stat_max
4H,decay,ks,var_2,11,2025-01-16 00:00:00,2025-01-20 20:00:00,4 days 20:00:00,0.9552451809062338
4H,decay,ks,var_3,1,2025-01-01 08:00:00,2025-01-01 12:00:00,0 days 04:00:00,0.22749690616582952
4H,decay,ks,var_3,2,2025-01-02 08:00:00,2025-01-02 12:00:00,0 days 04:00:00,0.20834759824530172
4H,decay,ks,var_3,3,2025-01-02 20:00:00,2025-01-03 00:00:00,0 days 04:00:00,0.1646169140334078
4H,decay,ks,var_3,4,2025-01-03 12:00:00,2025-01-03 16:00:00,0 days 04:00:00,0.15298479212814958
4H,decay,ks,var_3,5,2025-01-05 00:00:00,2025-01-05 08:00:00,0 days 08:00:00,0.15891479704398065
4H,decay,ks,var_3,6,2025-01-05 16:00:00,2025-01-05 20:00:00,0 days 04:00:00,0.15074820522953303
4H,decay,ks,var_3,7,2025-01-06 12:00:00,2025-01-06 16:00:00,0 days 04:00:00,0.17216638090535238
4H,decay,ks,var_3,8,2025-01-06 20:00:00,2025-01-07 00:00:00,0 days 04:00:00,0.1528185664410953
4H,decay,ks,var_3,9,2025-01-08 00:00:00,2025-01-08 04:00:00,0 days 04:00:00,0.17181815001786654
4H,decay,ks,var_3,10,2025-01-08 08:00:00,2025-01-08 12:00:00,0 days 04:00:00,0.21636263994363109
4H,decay,ks,var_3,11,2025-01-09 16:00:00,2025-01-09 20:00:00,0 days 04:00:00,0.17237936652235353
4H,decay,ks,var_3,12,2025-01-10 20:00:00,2025-01-11 00:00:00,0 days 04:00:00,0.1846315142820052
4H,decay,ks,var_3,13,2025-01-12 16:00:00,2025-01-13 00:00:00,0 days 08:00:00,0.1736722954528257
4H,decay,ks,var_3,14,2025-01-13 08:00:00,2025-01-13 12:00:00,0 days 04:00:00,0.19648016006433877
4H,decay,ks,var_3,15,2025-01-14 20:00:00,2025-01-20 20:00:00,6 days 00:00:00,0.9410334133377278
4H,decay,ks,var_4,1,2025-01-02 00:00:00,2025-01-02 04:00:00,0 days 04:00:00,0.18545437964525102
4H,decay,ks,var_4,2,2025-01-05 20:00:00,2025-01-06 00:00:00,0 days 04:00:00,0.20630188710460493
4H,decay,ks,var_4,3,2025-01-06 20:00:00,2025-01-07 00:00:00,0 days 04:00:00,0.21669400998749844
4H,decay,ks,var_4,4,2025-01-08 04:00:00,2025-01-08 08:00:00,0 days 04:00:00,0.1840111342497624
4H,decay,ks,var_4,5,2025-01-10 08:00:00,2025-01-10 12:00:00,0 days 04:00:00,0.18120424158598436
4H,decay,ks,var_4,6,2025-01-10 16:00:00,2025-01-20 20:00:00,10 days 04:00:00,0.9892098195354097
4H,decay,ks,var_5,1,2025-01-01 08:00:00,2025-01-01 12:00:00,0 days 04:00:00,0.17572978088374464
4H,decay,ks,var_5,2,2025-01-02 08:00:00,2025-01-02 12:00:00,0 days 04:00:00,0.1511418776732445
4H,decay,ks,var_5,3,2025-01-03 12:00:00,2025-01-03 16:00:00,0 days 04:00:00,0.19536266146305248
4H,decay,ks,var_5,4,2025-01-04 00:00:00,2025-01-04 04:00:00,0 days 04:00:00,0.23973841899642345
4H,decay,ks,var_5,5,2025-01-04 08:00:00,2025-01-04 12:00:00,0 days 04:00:00,0.1772947600679106
4H,decay,ks,var_5,6,2025-01-05 04:00:00,2025-01-05 08:00:00,0 days 04:00:00,0.17161808050411181
4H,decay,ks,var_5,7,2025-01-06 16:00:00,2025-01-06 20:00:00,0 days 04:00:00,0.19433979826284617
4H,decay,ks,var_5,8,2025-01-09 16:00:00,2025-01-09 20:00:00,0 days 04:00:00,0.18369231600075603
4H,decay,ks,var_5,9,2025-01-10 00:00:00,2025-01-10 04:00:00,0 days 04:00:00,0.2242285320661026
4H,decay,ks,var_5,10,2025-01-12 08:00:00,2025-01-12 12:00:00,0 days 04:00:00,0.16458092178226735
4H,decay,ks,var_5,11,2025-01-14 04:00:00,2025-01-14 08:00:00,0 days 04:00:00,0.15267989719814062
4H,decay,ks,var_5,12,2025-01-14 16:00:00,2025-01-15 00:00:00,0 days 08:00:00,0.15653380701298641
4H,decay,ks,var_5,13,2025-01-15 12:00:00,2025-01-20 20:00:00,5 days 08:00:00,0.9579164362210267
4H,decay,ks,var_6,1,2025-01-01 04:00:00,2025-01-01 08:00:00,0 days 04:00:00,0.1663936812986824
4H,decay,ks,var_6,2,2025-01-01 20:00:00,2025-01-02 00:00:00,0 days 04:00:00,0.1560938969875081
4H,decay,ks,var_6,3,2025-01-03 12:00:00,2025-01-03 16:00:00,0 days 04:00:00,0.18461555369402063
4H,decay,ks,var_6,4,2025-01-03 20:00:00,2025-01-04 00:00:00,0 days 04:00:00,0.15191985564005794
4H,decay,ks,var_6,5,2025-01-05 08:00:00,2025-01-05 12:00:00,0 days 04:00:00,0.22787990612883477
4H,decay,ks,var_6,6,2025-01-08 04:00:00,2025-01-08 08:00:00,0 days 04:00:00,0.16742617414229752
4H,decay,ks,var_6,7,2025-01-10 08:00:00,2025-01-10 16:00:00,0 days 08:00:00,0.21611836204367324
4H,decay,ks,var_6,8,2025-01-11 00:00:00,2025-01-11 04:00:00,0 days 04:00:00,0.1702387304536695
4H,decay,ks,var_6,9,2025-01-11 08:00:00,2025-01-20 20:00:00,9 days 12:00:00,0.8905932885804106
4H,decay,ks,var_7,1,2025-01-01 04:00:00,2025-01-01 08:00:00,0 days 04:00:00,0.24674237460872098
4H,decay,ks,var_7,2,2025-01-01 12:00:00,2025-01-01 16:00:00,0 days 04:00:00,0.1912050180776977
4H,decay,ks,var_7,3,2025-01-02 08:00:00,2025-01-07 00:00:00,4 days 16:00:00,0.7819964224917545
4H,decay,ks,var_7,4,2025-01-07 04:00:00,2025-01-07 12:00:00,0 days 08:00:00,0.16689333658774713
4H,decay,ks,var_7,5,2025-01-07 16:00:00,2025-01-08 04:00:00,0 days 12:00:00,0.23067191932735007
4H,decay,ks,var_7,6,2025-01-08 08:00:00,2025-01-08 16:00:00,0 days 08:00:00,0.2003473204196498
4H,decay,ks,var_7,7,2025-01-08 20:00:00,2025-01-09 04:00:00,0 days 08:00:00,0.2065101042867567
4H,decay,ks,var_7,8,2025-01-09 16:00:00,2025-01-10 00:00:00,0 days 08:00:00,0.21273672980404112
4H,decay,ks,var_7,9,2025-01-10 08:00:00,2025-01-10 12:00:00,0 days 04:00:00,0.24232733978792068
4H,decay,ks,var_7,10,2025-01-11 08:00:00,2025-01-11 12:00:00,0 days 04:00:00,0.17019323705300796
4H,decay,ks,var_7,11,2025-01-12 04:00:00,2025-01-12 08:00:00,0 days 04:00:00,0.20441450812350903
4H,decay,ks,var_7,12,2025-01-13 00:00:00,2025-01-13 04:00:00,0 days 04:00:00,0.2851192913042674
4H,decay,ks,var_7,13,2025-01-13 08:00:00,2025-01-20 20:00:00,7 days 12:00:00,0.9471741805507656
4H,decay,ks,var_8,1,2025-01-01 04:00:00,2025-01-01 08:00:00,0 days 04:00:00,0.23716968770473904
4H,decay,ks,var_8,2,2025-01-01 16:00:00,2025-01-01 20:00:00,0 days 04:00:00,0.20539191349618083
4H,decay,ks,var_8,3,2025-01-03 04:00:00,2025-01-03 08:00:00,0 days 04:00:00,0.2571051757433129
4H,decay,ks,var_8,4,2025-01-06 04:00:00,2025-01-06 08:00:00,0 days 04:00:00,0.17207134569624982
4H,decay,ks,var_8,5,2025-01-07 12:00:00,2025-01-07 20:00:00,0 days 08:00:00,0.2235644342247499
4H,decay,ks,var_8,6,2025-01-08 12:00:00,2025-01-08 16:00:00,0 days 04:00:00,0.21875058228342886
4H,decay,ks,var_8,7,2025-01-09 08:00:00,2025-01-09 16:00:00,0 days 08:00:00,0.1884215820460456
4H,decay,ks,var_8,8,2025-01-11 12:00:00,2025-01-11 16:00:00,0 days 04:00:00,0.20042260847470228
4H,decay,ks,var_8,9,2025-01-12 16:00:00,2025-01-12 20:00:00,0 days 04:00:00,0.17144992797782727
4H,decay,ks,var_8,10,2025-01-15 08:00:00,2025-01-20 20:00:00,5 days 12:00:00,0.9835210680016687
4H,decay,ks,var_9,1,2025-01-01 08:00:00,2025-01-01 12:00:00,0 days 04:00:00,0.19595799665137947
4H,decay,ks,var_9,2,2025-01-01 20:00:00,2025-01-02 00:00:00,0 days 04:00:00,0.15632360769786113
4H,decay,ks,var_9,3,2025-01-03 04:00:00,2025-01-03 08:00:00,0 days 04:00:00,0.16688154850042508
4H,decay,ks,var_9,4,2025-01-03 20:00:00,2025-01-04 00:00:00,0 days 04:00:00,0.1828088277010593
4H,decay,ks,var_9,5,2025-01-05 12:00:00,2025-01-05 16:00:00,0 days 04:00:00,0.15156424298777033
4H,decay,ks,var_9,6,2025-01-06 08:00:00,2025-01-06 12:00:00,0 days 04:00:00,0.2192093711350509
4H,decay,ks,var_9,7,2025-01-07 00:00:00,2025-01-07 08:00:00,0 days 08:00:00,0.2388074373810438
4H,decay,ks,var_9,8,2025-01-09 04:00:00,2025-01-09 08:00:00,0 days 04:00:00,0.15642795098838463
4H,decay,ks,var_9,9,2025-01-10 16:00:00,2025-01-10 20:00:00,0 days 04:00:00,0.21133650940013327
4H,decay,ks,var_9,10,2025-01-11 00:00:00,2025-01-11 04:00:00,0 days 04:00:00,0.21308434975298335
4H,decay,ks,var_9,11,2025-01-11 08:00:00,2025-01-20 20:00:00,9 days 12:00:00,0.8708914125050456
4H,decay,mannwhitney,var_1,1,2025-01-01 04:00:00,2025-01-01 08:00:00,0 days 04:00:00,0.5761811166921453
4H,decay,mannwhitney,var_1,2,2025-01-01 12:00:00,2025-01-01 20:00:00,0 days 08:00:00,0.596909805634418
4H,decay,mannwhitney,var_1,3,2025-01-02 16:00:00,2025-01-02 20:00:00,0 days 04:00:00,0.5856597071865904
4H,decay,mannwhitney,var_1,4,2025-01-03 00:00:00,2025-01-03 04:00:00,0 days 04:00:00,0.5714464285169862
4H,decay,mannwhitney,var_1,5,2025-01-03 08:00:00,2025-01-03 12:00:00,0 days 04:00:00,0.5591891124935104
4H,decay,mannwhitney,var_1,6,2025-01-04 04:00:00,2025-01-04 08:00:00,0 days 04:00:00,0.67567421347799
4H,decay,mannwhitney,var_1,7,2025-01-05 00:00:00,2025-01-05 04:00:00,0 days 04:00:00,0.5681004807327321
4H,decay,mannwhitney,var_1,8,2025-01-07 12:00:00,2025-01-07 16:00:00,0 days 04:00:00,0.5731067215347843
4H,decay,mannwhitney,var_1,9,2025-01-07 20:00:00,2025-01-08 00:00:00,0 days 04:00:00,0.5576053640020416
4H,decay,mannwhitney,var_1,10,2025-01-09 12:00:00,2025-01-09 16:00:00,0 days 04:00:00,0.6448450467378174
4H,decay,mannwhitney,var_1,11,2025-01-10 00:00:00,2025-01-10 04:00:00,0 days 04:00:00,0.565724981433523
4H,decay,mannwhitney,var_1,12,2025-01-11 04:00:00,2025-01-11 08:00:00,0 days 04:00:00,0.5552448070987416
4H,decay,mannwhitney,var_1,13,2025-01-12 20:00:00,2025-01-13 00:00:00,0 days 04:00:00,0.602594531813456
4H,decay,mannwhitney,var_10,1,2025-01-01 04:00:00,2025-01-01 16:00:00,0 days 12:00:00,0.6164191599330275
4H,decay,mannwhitney,var_10,2,2025-01-01 20:00:00,2025-01-02 00:00:00,0 days 04:00:00,0.5735438893304844
4H,decay,mannwhitney,var_10,3,2025-01-02 16:00:00,2025-01-02 20:00:00,0 days 04:00:00,0.558428388978113
4H,decay,mannwhitney,var_10,4,2025-01-05 04:00:00,2025-01-05 08:00:00,0 days 04:00:00,0.6091248009639165
4H,decay,mannwhitney,var_10,5,2025-01-05 16:00:00,2025-01-05 20:00:00,0 days 04:00:00,0.602114865309886
4H,decay,mannwhitney,var_2,1,2025-01-01 16:00:00,2025-01-01 20:00:00,0 days 04:00:00,0.5863193517679264
4H,decay,mannwhitney,var_2,2,2025-01-02 20:00:00,2025-01-03 00:00:00,0 days 04:00:00,0.6267422066177253
4H,decay,mannwhitney,var_2,3,2025-01-03 16:00:00,2025-01-03 20:00:00,0 days 04:00:00,0.5769593837567104
4H,decay,mannwhitney,var_2,4,2025-01-06 00:00:00,2025-01-06 04:00:00,0 days 04:00:00,0.5568080688223079
4H,decay,mannwhitney,var_2,5,2025-01-08 12:00:00,2025-01-08 16:00:00,0 days 04:00:00,0.5861992719852624
4H,decay,mannwhitney,var_2,6,2025-01-09 12:00:00,2025-01-09 16:00:00,0 days 04:00:00,0.5745143621437069
4H,decay,mannwhitney,var_2,7,2025-01-10 20:00:00,2025-01-11 00:00:00,0 days 04:00:00,0.5893621683551987
4H,decay,mannwhitney,var_2,8,2025-01-14 04:00:00,2025-01-14 08:00:00,0 days 04:00:00,0.5898978521581366
4H,decay,mannwhitney,var_2,9,2025-01-14 12:00:00,2025-01-14 16:00:00,0 days 04:00:00,0.6244492565747789
4H,decay,mannwhitney,var_2,10,2025-01-15 00:00:00,2025-01-15 04:00:00,0 days 04:00:00,0.6307337769590519
4H,decay,mannwhitney,var_2,11,2025-01-15 08:00:00,2025-01-15 12:00:00,0 days 04:00:00,0.553019986590631
4H,decay,mannwhitney,var_3,1,2025-01-01 08:00:00,2025-01-01 12:00:00,0 days 04:00:00,0.6182754604353207
4H,decay,mannwhitney,var_3,2,2025-01-02 00:00:00,2025-01-02 04:00:00,0 days 04:00:00,0.5570410226011886
4H,decay,mannwhitney,var_3,3,2025-01-02 08:00:00,2025-01-02 12:00:00,0 days 04:00:00,0.62314156726876
4H,decay,mannwhitney,var_3,4,2025-01-02 20:00:00,2025-01-03 00:00:00,0 days 04:00:00,0.5855676135759124
4H,decay,mannwhitney,var_3,5,2025-01-03 12:00:00,2025-01-03 16:00:00,0 days 04:00:00,0.5806600905096725
4H,decay,mannwhitney,var_3,6,2025-01-05 00:00:00,2025-01-05 12:00:00,0 days 12:00:00,0.57179216833322
4H,decay,mannwhitney,var_3,7,2025-01-05 16:00:00,2025-01-05 20:00:00,0 days 04:00:00,0.5773312257129685
4H,decay,mannwhitney,var_3,8,2025-01-06 20:00:00,2025-01-07 04:00:00,0 days 08:00:00,0.567690193914493
4H,decay,mannwhitney,var_3,9,2025-01-09 16:00:00,2025-01-09 20:00:00,0 days 04:00:00,0.5792203490517637
4H,decay,mannwhitney,var_3,10,2025-01-10 04:00:00,2025-01-10 08:00:00,0 days 04:00:00,0.5621333729974213
4H,decay,mannwhitney,var_3,11,2025-01-10 20:00:00,2025-01-11 00:00:00,0 days 04:00:00,0.6148268243274924
4H,decay,mannwhitney,var_3,12,2025-01-14 04:00:00,2025-01-14 12:00:00,0 days 08:00:00,0.5886501473711431
4H,decay,mannwhitney,var_4,1,2025-01-03 08:00:00,2025-01-03 12:00:00,0 days 04:00:00,0.5647678218579221
4H,decay,mannwhitney,var_4,2,2025-01-04 20:00:00,2025-01-05 00:00:00,0 days 04:00:00,0.5567802621088818
4H,decay,mannwhitney,var_4,3,2025-01-05 20:00:00,2025-01-06 00:00:00,0 days 04:00:00,0.6209399444246835
4H,decay,mannwhitney,var_4,4,2025-01-06 20:00:00,2025-01-07 00:00:00,0 days 04:00:00,0.6230843583331173
4H,decay,mannwhitney,var_5,1,2025-01-01 04:00:00,2025-01-01 12:00:00,0 days 08:00:00,0.5993848729708088
4H,decay,mannwhitney,var_5,2,2025-01-02 08:00:00,2025-01-02 12:00:00,0 days 04:00:00,0.578644171471089
4H,decay,mannwhitney,var_5,3,2025-01-02 20:00:00,2025-01-03 00:00:00,0 days 04:00:00,0.5564122513033302
4H,decay,mannwhitney,var_5,4,2025-01-05 04:00:00,2025-01-05 08:00:00,0 days 04:00:00,0.5825846925233136
4H,decay,mannwhitney,var_5,5,2025-01-06 12:00:00,2025-01-06 20:00:00,0 days 08:00:00,0.616805006469284
4H,decay,mannwhitney,var_5,6,2025-01-07 04:00:00,2025-01-07 08:00:00,0 days 04:00:00,0.5622990387934987
4H,decay,mannwhitney,var_5,7,2025-01-07 16:00:00,2025-01-07 20:00:00,0 days 04:00:00,0.554069138957715
4H,decay,mannwhitney,var_5,8,2025-01-08 12:00:00,2025-01-08 16:00:00,0 days 04:00:00,0.5543988329901398
4H,decay,mannwhitney,var_5,9,2025-01-09 16:00:00,2025-01-09 20:00:00,0 days 04:00:00,0.6277344038307486
4H,decay,mannwhitney,var_5,10,2025-01-10 00:00:00,2025-01-10 08:00:00,0 days 08:00:00,0.6259067541006829
4H,decay,mannwhitney,var_5,11,2025-01-10 16:00:00,2025-01-11 00:00:00,0 days 08:00:00,0.5964951171691223
4H,decay,mannwhitney,var_5,12,2025-01-11 04:00:00,2025-01-11 08:00:00,0 days 04:00:00,0.5521486855154899
4H,decay,mannwhitney,var_5,13,2025-01-13 08:00:00,2025-01-13 12:00:00,0 days 04:00:00,0.5507180189257751
4H,decay,mannwhitney,var_5,14,2025-01-14 20:00:00,2025-01-15 00:00:00,0 days 04:00:00,0.5961754629660702
4H,decay,mannwhitney,var_6,1,2025-01-01 04:00:00,2025-01-01 08:00:00,0 days 04:00:00,0.589248016306326
4H,decay,mannwhitney,var_6,2,2025-01-01 16:00:00,2025-01-01 20:00:00,0 days 04:00:00,0.5519173221711584
4H,decay,mannwhitney,var_6,3,2025-01-06 00:00:00,2025-01-06 08:00:00,0 days 08:00:00,0.5692805421424327
4H,decay,mannwhitney,var_6,4,2025-01-06 16:00:00,2025-01-06 20:00:00,0 days 04:00:00,0.5668785717823817
4H,decay,mannwhitney,var_6,5,2025-01-08 04:00:00,2025-01-08 08:00:00,0 days 04:00:00,0.5985195879358188
4H,decay,mannwhitney,var_6,6,2025-01-09 04:00:00,2025-01-09 08:00:00,0 days 04:00:00,0.5663713574741036
4H,decay,mannwhitney,var_6,7,2025-01-09 16:00:00,2025-01-09 20:00:00,0 days 04:00:00,0.5508983717518294
4H,decay,mannwhitney,var_6,8,2025-01-10 12:00:00,2025-01-10 16:00:00,0 days 04:00:00,0.5833200097446255
4H,decay,mannwhitney,var_6,9,2025-01-11 00:00:00,2025-01-11 04:00:00,0 days 04:00:00,0.5977928575464059
4H,decay,mannwhitney,var_7,1,2025-01-01 12:00:00,2025-01-01 16:00:00,0 days 04:00:00,0.6045533959379777
4H,decay,mannwhitney,var_7,2,2025-01-02 08:00:00,2025-01-02 12:00:00,0 days 04:00:00,0.5933815373238569
4H,decay,mannwhitney,var_8,1,2025-01-01 04:00:00,2025-01-01 08:00:00,0 days 04:00:00,0.6542003348620514
4H,decay,mannwhitney,var_8,2,2025-01-04 12:00:00,2025-01-04 16:00:00,0 days 04:00:00,0.5534352681344952
4H,decay,mannwhitney,var_8,3,2025-01-05 16:00:00,2025-01-06 00:00:00,0 days 08:00:00,0.57185536455246
4H,decay,mannwhitney,var_8,4,2025-01-06 08:00:00,2025-01-06 12:00:00,0 days 04:00:00,0.5649571400430824
4H,decay,mannwhitney,var_8,5,2025-01-10 16:00:00,2025-01-11 00:00:00,0 days 08:00:00,0.5540583039751413
4H,decay,mannwhitney,var_8,6,2025-01-11 08:00:00,2025-01-11 12:00:00,0 days 04:00:00,0.5754172727159332
4H,decay,mannwhitney,var_8,7,2025-01-12 04:00:00,2025-01-12 08:00:00,0 days 04:00:00,0.5525520933440365
4H,decay,mannwhitney,var_8,8,2025-01-12 12:00:00,2025-01-13 00:00:00,0 days 12:00:00,0.5758798543771607
4H,decay,mannwhitney,var_8,9,2025-01-13 12:00:00,2025-01-13 16:00:00,0 days 04:00:00,0.5775028023107973
4H,decay,mannwhitney,var_9,1,2025-01-01 12:00:00,2025-01-01 16:00:00,0 days 04:00:00,0.5526133799228361
4H,decay,mannwhitney,var_9,2,2025-01-02 12:00:00,2025-01-02 16:00:00,0 days 04:00:00,0.5704004301555256
4H,decay,mannwhitney,var_9,3,2025-01-02 20:00:00,2025-01-03 00:00:00,0 days 04:00:00,0.5727537503989786
4H,decay,mannwhitney,var_9,4,2025-01-03 04:00:00,2025-01-03 08:00:00,0 days 04:00:00,0.5830804483805041
4H,decay,mannwhitney,var_9,5,2025-01-03 20:00:00,2025-01-04 12:00:00,0 days 16:00:00,0.6199765512168236
4H,decay,mannwhitney,var_9,6,2025-01-05 12:00:00,2025-01-05 16:00:00,0 days 04:00:00,0.6007039878536153
4H,decay,mannwhitney,var_9,7,2025-01-06 00:00:00,2025-01-06 12:00:00,0 days 12:00:00,0.648316131391373
4H,decay,mannwhitney,var_9,8,2025-01-06 16:00:00,2025-01-07 08:00:00,0 days 16:00:00,0.6576675989298703
4H,decay,mannwhitney,var_9,9,2025-01-10 08:00:00,2025-01-10 16:00:00,0 days 08:00:00,0.5607995735572532
4H,decay,psi,var_1,1,2025-01-02 04:00:00,2025-01-02 08:00:00,0 days 04:00:00,0.2858908255923914
4H,decay,psi,var_1,2,2025-01-04 04:00:00,2025-01-04 08:00:00,0 days 04:00:00,0.471504504535763
4H,decay,psi,var_1,3,2025-01-06 04:00:00,2025-01-06 08:00:00,0 days 04:00:00,0.24669930604393006
4H,decay,psi,var_1,4,2025-01-09 12:00:00,2025-01-09 16:00:00,0 days 04:00:00,0.3432952629208288
4H,decay,psi,var_1,5,2025-01-10 16:00:00,2025-01-10 20:00:00,0 days 04:00:00,0.28330271584004546
4H,decay,psi,var_1,6,2025-01-11 08:00:00,2025-01-11 12:00:00,0 days 04:00:00,0.262318303568035
4H,decay,psi,var_1,7,2025-01-13 08:00:00,2025-01-20 20:00:00,7 days 12:00:00,12.43333161606274
4H,decay,psi,var_10,1,2025-01-01 08:00:00,2025-01-01 12:00:00,0 days 04:00:00,0.22302592912872968
4H,decay,psi,var_10,2,2025-01-05 04:00:00,2025-01-05 08:00:00,0 days 04:00:00,0.21567785697310135
4H,decay,psi,var_10,3,2025-01-06 12:00:00,2025-01-20 20:00:00,14 days 08:00:00,12.433408086129102
4H,decay,psi,var_2,1,2025-01-02 20:00:00,2025-01-03 00:00:00,0 days 04:00:00,0.24731767165968857
4H,decay,psi,var_2,2,2025-01-08 04:00:00,2025-01-08 08:00:00,0 days 04:00:00,0.21214995293049405
4H,decay,psi,var_2,3,2025-01-10 12:00:00,2025-01-10 16:00:00,0 days 04:00:00,0.4250537071856881
4H,decay,psi,var_2,4,2025-01-14 12:00:00,2025-01-14 16:00:00,0 days 04:00:00,0.2230749443630618
4H,decay,psi,var_2,5,2025-01-15 00:00:00,2025-01-15 04:00:00,0 days 04:00:00,0.24956570043819992
4H,decay,psi,var_2,6,2025-01-16 00:00:00,2025-01-20 20:00:00,4 days 20:00:00,12.433724912775775
4H,decay,psi,var_3,1,2025-01-01 08:00:00,2025-01-01 12:00:00,0 days 04:00:00,0.23951458699357298
4H,decay,psi,var_3,2,2025-01-02 08:00:00,2025-01-02 12:00:00,0 days 04:00:00,0.2746938267806068
4H,decay,psi,var_3,3,2025-01-08 00:00:00,2025-01-08 04:00:00,0 days 04:00:00,0.2141356836176391
4H,decay,psi,var_3,4,2025-01-08 08:00:00,2025-01-08 12:00:00,0 days 04:00:00,0.20481905993294722
4H,decay,psi,var_3,5,2025-01-09 16:00:00,2025-01-09 20:00:00,0 days 04:00:00,0.2521046416879041
4H,decay,psi,var_3,6,2025-01-10 20:00:00,2025-01-11 00:00:00,0 days 04:00:00,0.22539335511296946
4H,decay,psi,var_3,7,2025-01-13 08:00:00,2025-01-13 12:00:00,0 days 04:00:00,0.20160604039972338
4H,decay,psi,var_3,8,2025-01-15 00:00:00,2025-01-15 08:00:00,0 days 08:00:00,0.39193929400348304
4H,decay,psi,var_3,9,2025-01-15 12:00:00,2025-01-20 20:00:00,5 days 08:00:00,12.433737962298148
4H,decay,psi,var_4,1,2025-01-01 04:00:00,2025-01-01 08:00:00,0 days 04:00:00,0.2146678974447479
4H,decay,psi,var_4,2,2025-01-02 00:00:00,2025-01-02 04:00:00,0 days 04:00:00,0.2117524652510612
4H,decay,psi,var_4,3,2025-01-05 20:00:00,2025-01-06 00:00:00,0 days 04:00:00,0.3470578943645263
4H,decay,psi,var_4,4,2025-01-06 20:00:00,2025-01-07 00:00:00,0 days 04:00:00,0.24775836804662768
4H,decay,psi,var_4,5,2025-01-08 04:00:00,2025-01-08 08:00:00,0 days 04:00:00,0.23082904927237388
4H,decay,psi,var_4,6,2025-01-10 08:00:00,2025-01-10 12:00:00,0 days 04:00:00,0.24152146397573568
4H,decay,psi,var_4,7,2025-01-10 16:00:00,2025-01-20 20:00:00,10 days 04:00:00,12.433835163691871
4H,decay,psi,var_5,1,2025-01-01 04:00:00,2025-01-01 08:00:00,0 days 04:00:00,0.22349062325667723
4H,decay,psi,var_5,2,2025-01-02 08:00:00,2025-01-02 12:00:00,0 days 04:00:00,0.20617698932578377
4H,decay,psi,var_5,3,2025-01-02 16:00:00,2025-01-02 20:00:00,0 days 04:00:00,0.21467927171916906
4H,decay,psi,var_5,4,2025-01-03 12:00:00,2025-01-03 16:00:00,0 days 04:00:00,0.23859370405390332
4H,decay,psi,var_5,5,2025-01-04 00:00:00,2025-01-04 04:00:00,0 days 04:00:00,0.3300020972481131
4H,decay,psi,var_5,6,2025-01-04 08:00:00,2025-01-04 12:00:00,0 days 04:00:00,0.23262803020648432
4H,decay,psi,var_5,7,2025-01-05 04:00:00,2025-01-05 08:00:00,0 days 04:00:00,0.2117018175765062
4H,decay,psi,var_5,8,2025-01-06 16:00:00,2025-01-06 20:00:00,0 days 04:00:00,0.28981366931450814
4H,decay,psi,var_5,9,2025-01-09 16:00:00,2025-01-09 20:00:00,0 days 04:00:00,0.22682238312637548
4H,decay,psi,var_5,10,2025-01-10 00:00:00,2025-01-10 04:00:00,0 days 04:00:00,0.23794493172714054
4H,decay,psi,var_5,11,2025-01-15 12:00:00,2025-01-20 20:00:00,5 days 08:00:00,12.433715434714593
4H,decay,psi,var_6,1,2025-01-05 08:00:00,2025-01-05 12:00:00,0 days 04:00:00,0.29539029942996425
4H,decay,psi,var_6,2,2025-01-08 04:00:00,2025-01-08 08:00:00,0 days 04:00:00,0.2740565233491491
4H,decay,psi,var_6,3,2025-01-10 08:00:00,2025-01-10 12:00:00,0 days 04:00:00,0.22853731631469698
4H,decay,psi,var_6,4,2025-01-11 08:00:00,2025-01-20 20:00:00,9 days 12:00:00,11.420449090108555
4H,decay,psi,var_7,1,2025-01-01 04:00:00,2025-01-01 08:00:00,0 days 04:00:00,0.22807122752598497
4H,decay,psi,var_7,2,2025-01-01 12:00:00,2025-01-01 16:00:00,0 days 04:00:00,0.2751661039830369
4H,decay,psi,var_7,3,2025-01-02 12:00:00,2025-01-09 04:00:00,6 days 16:00:00,7.799645001700899
4H,decay,psi,var_7,4,2025-01-09 16:00:00,2025-01-10 00:00:00,0 days 08:00:00,0.4400877777186446
4H,decay,psi,var_7,5,2025-01-10 04:00:00,2025-01-10 16:00:00,0 days 12:00:00,0.4518393364381742
4H,decay,psi,var_7,6,2025-01-10 20:00:00,2025-01-11 00:00:00,0 days 04:00:00,0.20861475755637085
4H,decay,psi,var_7,7,2025-01-11 08:00:00,2025-01-11 12:00:00,0 days 04:00:00,0.31767816155383105
4H,decay,psi,var_7,8,2025-01-11 16:00:00,2025-01-11 20:00:00,0 days 04:00:00,0.20729901476675913
4H,decay,psi,var_7,9,2025-01-12 00:00:00,2025-01-12 04:00:00,0 days 04:00:00,0.3276118302140135
4H,decay,psi,var_7,10,2025-01-13 00:00:00,2025-01-20 20:00:00,7 days 20:00:00,12.433835163691871
4H,decay,psi,var_8,1,2025-01-01 04:00:00,2025-01-01 08:00:00,0 days 04:00:00,0.287230794862533
4H,decay,psi,var_8,2,2025-01-01 16:00:00,2025-01-01 20:00:00,0 days 04:00:00,0.2518825289701832
4H,decay,psi,var_8,3,2025-01-03 04:00:00,2025-01-03 08:00:00,0 days 04:00:00,0.44323378082844594
4H,decay,psi,var_8,4,2025-01-06 04:00:00,2025-01-06 08:00:00,0 days 04:00:00,0.2120971558572483
