window,strategy,metric,variable,episode_id,seg_start,seg_end,seg_length,stat_max,n_windows,matched_manual,auto_len_sec
12H,seasonal,wasserstein,var_5,4,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,2.759500699476476,10,True,432000.0
12H,seasonal,wasserstein,var_6,1,2025-01-08 00:00:00,2025-01-08 12:00:00,0 days 12:00:00,0.2731473485245749,1,False,43200.0
12H,seasonal,wasserstein,var_6,2,2025-01-11 12:00:00,2025-01-20 12:00:00,9 days 00:00:00,2.765145102284202,18,True,777600.0
12H,seasonal,wasserstein,var_7,1,2025-01-02 12:00:00,2025-01-06 12:00:00,4 days 00:00:00,0.9674990414675828,8,True,345600.0
12H,seasonal,wasserstein,var_7,2,2025-01-07 12:00:00,2025-01-09 12:00:00,2 days 00:00:00,1.3469833936303084,4,False,172800.0
12H,seasonal,wasserstein,var_7,3,2025-01-12 00:00:00,2025-01-20 12:00:00,8 days 12:00:00,3.236525095339653,17,True,734400.0
12H,seasonal,wasserstein,var_8,1,2025-01-07 12:00:00,2025-01-09 00:00:00,1 days 12:00:00,0.4261083508674339,3,False,129600.0
12H,seasonal,wasserstein,var_8,2,2025-01-11 12:00:00,2025-01-12 00:00:00,0 days 12:00:00,0.6945583798442099,1,False,43200.0
12H,seasonal,wasserstein,var_8,3,2025-01-12 12:00:00,2025-01-13 00:00:00,0 days 12:00:00,0.29622280365799186,1,False,43200.0
12H,seasonal,wasserstein,var_8,4,2025-01-13 12:00:00,2025-01-14 00:00:00,0 days 12:00:00,0.2860920423065637,1,False,43200.0
12H,seasonal,wasserstein,var_8,5,2025-01-14 12:00:00,2025-01-15 00:00:00,0 days 12:00:00,0.3116730505778855,1,False,43200.0
12H,seasonal,wasserstein,var_8,6,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,4.764371453490462,10,True,432000.0
12H,seasonal,wasserstein,var_9,1,2025-01-07 12:00:00,2025-01-08 00:00:00,0 days 12:00:00,0.5167483416904033,1,False,43200.0
12H,seasonal,wasserstein,var_9,2,2025-01-08 12:00:00,2025-01-09 00:00:00,0 days 12:00:00,0.4231029624468859,1,False,43200.0
12H,seasonal,wasserstein,var_9,3,2025-01-11 12:00:00,2025-01-20 12:00:00,9 days 00:00:00,2.603831066901194,18,True,777600.0
24H,decay,ks,var_1,1,2025-01-13 00:00:00,2025-01-20 00:00:00,7 days 00:00:00,0.9173860351832264,7,True,604800.0
24H,decay,ks,var_10,1,2025-01-06 00:00:00,2025-01-20 00:00:00,14 days 00:00:00,0.9089412365257795,14,True,1209600.0
24H,decay,ks,var_2,1,2025-01-16 00:00:00,2025-01-20 00:00:00,4 days 00:00:00,0.944730686653945,4,True,345600.0
24H,decay,ks,var_3,1,2025-01-15 00:00:00,2025-01-20 00:00:00,5 days 00:00:00,0.8834873899725291,5,True,432000.0
24H,decay,ks,var_4,1,2025-01-11 00:00:00,2025-01-20 00:00:00,9 days 00:00:00,0.9637503779620198,9,True,777600.0
24H,decay,ks,var_5,1,2025-01-15 00:00:00,2025-01-20 00:00:00,5 days 00:00:00,0.9428642432528616,5,True,432000.0
24H,decay,ks,var_6,1,2025-01-11 00:00:00,2025-01-20 00:00:00,9 days 00:00:00,0.8690484762199672,9,True,777600.0
24H,decay,ks,var_7,1,2025-01-02 00:00:00,2025-01-07 00:00:00,5 days 00:00:00,0.6164531325448029,5,True,432000.0
24H,decay,ks,var_7,2,2025-01-13 00:00:00,2025-01-20 00:00:00,7 days 00:00:00,0.7990948833715588,7,True,604800.0
24H,decay,ks,var_8,1,2025-01-15 00:00:00,2025-01-20 00:00:00,5 days 00:00:00,0.914599611004483,5,True,432000.0
24H,decay,ks,var_9,1,2025-01-11 00:00:00,2025-01-20 00:00:00,9 days 00:00:00,0.8362709593002042,9,True,777600.0
24H,decay,psi,var_1,1,2025-01-13 00:00:00,2025-01-20 00:00:00,7 days 00:00:00,10.84055586202625,7,True,604800.0
24H,decay,psi,var_10,1,2025-01-06 00:00:00,2025-01-20 00:00:00,14 days 00:00:00,11.699242170317904,14,True,1209600.0
24H,decay,psi,var_2,1,2025-01-16 00:00:00,2025-01-20 00:00:00,4 days 00:00:00,11.621915488500088,4,True,345600.0
24H,decay,psi,var_3,1,2025-01-15 00:00:00,2025-01-20 00:00:00,5 days 00:00:00,11.357938269196266,5,True,432000.0
24H,decay,psi,var_4,1,2025-01-11 00:00:00,2025-01-20 00:00:00,9 days 00:00:00,12.433724912775775,9,True,777600.0
24H,decay,psi,var_5,1,2025-01-15 00:00:00,2025-01-20 00:00:00,5 days 00:00:00,11.698977149632526,5,True,432000.0
24H,decay,psi,var_6,1,2025-01-12 00:00:00,2025-01-20 00:00:00,8 days 00:00:00,9.751144432987735,8,True,691200.0
24H,decay,psi,var_7,1,2025-01-02 00:00:00,2025-01-07 00:00:00,5 days 00:00:00,2.7112147417131727,5,True,432000.0
24H,decay,psi,var_7,2,2025-01-08 00:00:00,2025-01-09 00:00:00,1 days 00:00:00,0.3113110803478042,1,False,86400.0
24H,decay,psi,var_7,3,2025-01-13 00:00:00,2025-01-20 00:00:00,7 days 00:00:00,8.388204158503044,7,True,604800.0
24H,decay,psi,var_8,1,2025-01-15 00:00:00,2025-01-20 00:00:00,5 days 00:00:00,11.493277944888074,5,True,432000.0
24H,decay,psi,var_9,1,2025-01-12 00:00:00,2025-01-20 00:00:00,8 days 00:00:00,10.191090258621045,8,True,691200.0
24H,decay,wasserstein,var_1,1,2025-01-13 00:00:00,2025-01-20 00:00:00,7 days 00:00:00,2.529729413520931,7,True,604800.0
24H,decay,wasserstein,var_10,1,2025-01-06 00:00:00,2025-01-20 00:00:00,14 days 00:00:00,3.7228976246713312,14,True,1209600.0
24H,decay,wasserstein,var_2,1,2025-01-16 00:00:00,2025-01-20 00:00:00,4 days 00:00:00,2.2899810757435275,4,True,345600.0
24H,decay,wasserstein,var_3,1,2025-01-15 00:00:00,2025-01-20 00:00:00,5 days 00:00:00,2.1429001905453067,5,True,432000.0
24H,decay,wasserstein,var_4,1,2025-01-11 00:00:00,2025-01-20 00:00:00,9 days 00:00:00,5.477607995273866,9,True,777600.0
24H,decay,wasserstein,var_5,1,2025-01-15 00:00:00,2025-01-20 00:00:00,5 days 00:00:00,2.254414693923595,5,True,432000.0
24H,decay,wasserstein,var_6,1,2025-01-11 00:00:00,2025-01-20 00:00:00,9 days 00:00:00,2.408877858518808,9,True,777600.0
24H,decay,wasserstein,var_7,1,2025-01-02 00:00:00,2025-01-07 00:00:00,5 days 00:00:00,0.9337147721289834,5,True,432000.0
24H,decay,wasserstein,var_7,2,2025-01-13 00:00:00,2025-01-20 00:00:00,7 days 00:00:00,1.6779692837566482,7,True,604800.0
24H,decay,wasserstein,var_8,1,2025-01-15 00:00:00,2025-01-20 00:00:00,5 days 00:00:00,2.5510411792612797,5,True,432000.0
24H,decay,wasserstein,var_9,1,2025-01-11 00:00:00,2025-01-20 00:00:00,9 days 00:00:00,2.1600769614341426,9,True,777600.0
24H,golden,ks,var_1,1,2025-01-13 00:00:00,2025-01-16 00:00:00,3 days 00:00:00,0.5369853111265325,3,True,259200.0
24H,golden,ks,var_1,2,2025-01-19 00:00:00,2025-01-20 00:00:00,1 days 00:00:00,0.5750138792505205,1,True,86400.0
24H,golden,ks,var_10,1,2025-01-06 00:00:00,2025-01-11 00:00:00,5 days 00:00:00,0.5797790885958825,5,True,432000.0
24H,golden,ks,var_10,2,2025-01-12 00:00:00,2025-01-15 00:00:00,3 days 00:00:00,0.6685941475826972,3,True,259200.0
24H,golden,ks,var_10,3,2025-01-16 00:00:00,2025-01-20 00:00:00,4 days 00:00:00,0.44986872542216055,4,True,345600.0
24H,golden,ks,var_2,1,2025-01-16 00:00:00,2025-01-18 00:00:00,2 days 00:00:00,0.6705829285218599,2,True,172800.0
24H,golden,ks,var_3,1,2025-01-15 00:00:00,2025-01-20 00:00:00,5 days 00:00:00,0.4933269720101781,5,True,432000.0
24H,golden,ks,var_4,1,2025-01-11 00:00:00,2025-01-14 00:00:00,3 days 00:00:00,0.7083154059680777,3,True,259200.0
24H,golden,ks,var_4,2,2025-01-16 00:00:00,2025-01-20 00:00:00,4 days 00:00:00,0.6263410825815406,4,True,345600.0
24H,golden,ks,var_5,1,2025-01-15 00:00:00,2025-01-17 00:00:00,2 days 00:00:00,0.8864197316678233,2,True,172800.0
24H,golden,ks,var_6,1,2025-01-11 00:00:00,2025-01-14 00:00:00,3 days 00:00:00,0.6694216978949803,3,True,259200.0
24H,golden,ks,var_6,2,2025-01-18 00:00:00,2025-01-20 00:00:00,2 days 00:00:00,0.6105684709692343,2,True,172800.0
24H,golden,ks,var_7,1,2025-01-02 00:00:00,2025-01-05 00:00:00,3 days 00:00:00,0.5386901457321305,3,True,259200.0
24H,golden,ks,var_7,2,2025-01-13 00:00:00,2025-01-16 00:00:00,3 days 00:00:00,0.3851677076104557,3,True,259200.0
24H,golden,ks,var_7,3,2025-01-19 00:00:00,2025-01-20 00:00:00,1 days 00:00:00,0.3669558177191765,1,True,86400.0
24H,golden,ks,var_8,1,2025-01-15 00:00:00,2025-01-17 00:00:00,2 days 00:00:00,0.4884229701596114,2,True,172800.0
24H,golden,ks,var_8,2,2025-01-18 00:00:00,2025-01-20 00:00:00,2 days 00:00:00,0.5265411751098774,2,True,172800.0
24H,golden,ks,var_9,1,2025-01-11 00:00:00,2025-01-14 00:00:00,3 days 00:00:00,0.3044037705297247,3,True,259200.0
24H,golden,ks,var_9,2,2025-01-18 00:00:00,2025-01-20 00:00:00,2 days 00:00:00,0.349235484617164,2,True,172800.0
24H,golden,psi,var_1,1,2025-01-13 00:00:00,2025-01-16 00:00:00,3 days 00:00:00,1.8476494652201172,3,True,259200.0
24H,golden,psi,var_1,2,2025-01-19 00:00:00,2025-01-20 00:00:00,1 days 00:00:00,1.808645234115977,1,True,86400.0
24H,golden,psi,var_10,1,2025-01-06 00:00:00,2025-01-15 00:00:00,9 days 00:00:00,4.839081368398968,9,True,777600.0
24H,golden,psi,var_10,2,2025-01-16 00:00:00,2025-01-20 00:00:00,4 days 00:00:00,1.3087009216735024,4,True,345600.0
24H,golden,psi,var_2,1,2025-01-16 00:00:00,2025-01-19 00:00:00,3 days 00:00:00,4.176330216662342,3,True,259200.0
24H,golden,psi,var_3,1,2025-01-15 00:00:00,2025-01-20 00:00:00,5 days 00:00:00,1.6727198794720577,5,True,432000.0
24H,golden,psi,var_4,1,2025-01-11 00:00:00,2025-01-14 00:00:00,3 days 00:00:00,3.8259086607822033,3,True,259200.0
24H,golden,psi,var_4,2,2025-01-16 00:00:00,2025-01-17 00:00:00,1 days 00:00:00,4.245689126710948,1,False,86400.0
24H,golden,psi,var_4,3,2025-01-18 00:00:00,2025-01-20 00:00:00,2 days 00:00:00,6.661906696315525,2,True,172800.0
24H,golden,psi,var_5,1,2025-01-16 00:00:00,2025-01-18 00:00:00,2 days 00:00:00,7.063049182601627,2,True,172800.0
24H,golden,psi,var_6,1,2025-01-12 00:00:00,2025-01-14 00:00:00,2 days 00:00:00,2.1845564662554517,2,True,172800.0
24H,golden,psi,var_6,2,2025-01-18 00:00:00,2025-01-20 00:00:00,2 days 00:00:00,1.988138869019345,2,True,172800.0
24H,golden,psi,var_7,1,2025-01-02 00:00:00,2025-01-05 00:00:00,3 days 00:00:00,2.17821894912843,3,True,259200.0
24H,golden,psi,var_7,2,2025-01-13 00:00:00,2025-01-15 00:00:00,2 days 00:00:00,0.9973400683378852,2,True,172800.0
24H,golden,psi,var_7,3,2025-01-19 00:00:00,2025-01-20 00:00:00,1 days 00:00:00,0.6495953589610122,1,True,86400.0
24H,golden,psi,var_8,1,2025-01-15 00:00:00,2025-01-17 00:00:00,2 days 00:00:00,2.434172643582131,2,True,172800.0
24H,golden,psi,var_8,2,2025-01-18 00:00:00,2025-01-20 00:00:00,2 days 00:00:00,1.9146582072845462,2,True,172800.0
24H,golden,psi,var_9,1,2025-01-12 00:00:00,2025-01-14 00:00:00,2 days 00:00:00,0.548598152543748,2,True,172800.0
24H,golden,psi,var_9,2,2025-01-18 00:00:00,2025-01-20 00:00:00,2 days 00:00:00,0.72169240596257,2,True,172800.0
24H,golden,wasserstein,var_1,1,2025-01-13 00:00:00,2025-01-16 00:00:00,3 days 00:00:00,0.9140295847176376,3,True,259200.0
24H,golden,wasserstein,var_1,2,2025-01-19 00:00:00,2025-01-20 00:00:00,1 days 00:00:00,0.8649941196816131,1,True,86400.0
24H,golden,wasserstein,var_10,1,2025-01-06 00:00:00,2025-01-10 00:00:00,4 days 00:00:00,0.989657805708186,4,True,345600.0
24H,golden,wasserstein,var_10,2,2025-01-12 00:00:00,2025-01-15 00:00:00,3 days 00:00:00,1.239660404140057,3,True,259200.0
24H,golden,wasserstein,var_10,3,2025-01-16 00:00:00,2025-01-20 00:00:00,4 days 00:00:00,0.6007751885620713,4,True,345600.0
24H,golden,wasserstein,var_2,1,2025-01-16 00:00:00,2025-01-18 00:00:00,2 days 00:00:00,1.2558952991060215,2,True,172800.0
24H,golden,wasserstein,var_3,1,2025-01-15 00:00:00,2025-01-20 00:00:00,5 days 00:00:00,0.6782692803563303,5,True,432000.0
24H,golden,wasserstein,var_4,1,2025-01-11 00:00:00,2025-01-14 00:00:00,3 days 00:00:00,1.2062607675583026,3,True,259200.0
24H,golden,wasserstein,var_4,2,2025-01-15 00:00:00,2025-01-20 00:00:00,5 days 00:00:00,1.3454799592119528,5,True,432000.0
24H,golden,wasserstein,var_5,1,2025-01-16 00:00:00,2025-01-17 00:00:00,1 days 00:00:00,1.9533845133517622,1,True,86400.0
24H,golden,wasserstein,var_6,1,2025-01-11 00:00:00,2025-01-14 00:00:00,3 days 00:00:00,1.1354231550657028,3,True,259200.0
24H,golden,wasserstein,var_6,2,2025-01-18 00:00:00,2025-01-20 00:00:00,2 days 00:00:00,0.868666868413112,2,True,172800.0
24H,golden,wasserstein,var_7,1,2025-01-02 00:00:00,2025-01-05 00:00:00,3 days 00:00:00,0.834108225074129,3,True,259200.0
24H,golden,wasserstein,var_7,2,2025-01-13 00:00:00,2025-01-16 00:00:00,3 days 00:00:00,0.5391780005559588,3,True,259200.0
24H,golden,wasserstein,var_7,3,2025-01-19 00:00:00,2025-01-20 00:00:00,1 days 00:00:00,0.5233734366650129,1,True,86400.0
24H,golden,wasserstein,var_8,1,2025-01-15 00:00:00,2025-01-17 00:00:00,2 days 00:00:00,0.70749147758737,2,True,172800.0
24H,golden,wasserstein,var_8,2,2025-01-18 00:00:00,2025-01-20 00:00:00,2 days 00:00:00,0.8189371331191981,2,True,172800.0
24H,golden,wasserstein,var_9,1,2025-01-11 00:00:00,2025-01-14 00:00:00,3 days 00:00:00,0.428616685938536,3,True,259200.0
24H,golden,wasserstein,var_9,2,2025-01-18 00:00:00,2025-01-20 00:00:00,2 days 00:00:00,0.45969150524198354,2,True,172800.0
24H,seasonal,ks,var_1,1,2025-01-12 00:00:00,2025-01-13 00:00:00,1 days 00:00:00,0.30726347443904695,1,False,86400.0
24H,seasonal,ks,var_1,2,2025-01-14 00:00:00,2025-01-20 00:00:00,6 days 00:00:00,0.9986120749479528,6,True,518400.0
24H,seasonal,ks,var_10,1,2025-01-06 00:00:00,2025-01-20 00:00:00,14 days 00:00:00,1.0,14,True,1209600.0
24H,seasonal,ks,var_2,1,2025-01-08 00:00:00,2025-01-09 00:00:00,1 days 00:00:00,0.2135438352995605,1,False,86400.0
24H,seasonal,ks,var_2,2,2025-01-12 00:00:00,2025-01-13 00:00:00,1 days 00:00:00,0.46069858894286375,1,False,86400.0
24H,seasonal,ks,var_2,3,2025-01-16 00:00:00,2025-01-20 00:00:00,4 days 00:00:00,0.9937543372657877,4,True,345600.0
24H,seasonal,ks,var_3,1,2025-01-08 00:00:00,2025-01-09 00:00:00,1 days 00:00:00,0.273675688179505,1,False,86400.0
24H,seasonal,ks,var_3,2,2025-01-10 00:00:00,2025-01-11 00:00:00,1 days 00:00:00,0.30161924589405503,1,False,86400.0
24H,seasonal,ks,var_3,3,2025-01-12 00:00:00,2025-01-14 00:00:00,2 days 00:00:00,0.2809969928290539,2,False,172800.0
24H,seasonal,ks,var_3,4,2025-01-15 00:00:00,2025-01-20 00:00:00,5 days 00:00:00,1.0,5,True,432000.0
24H,seasonal,ks,var_4,1,2025-01-08 00:00:00,2025-01-09 00:00:00,1 days 00:00:00,0.37295859356928057,1,False,86400.0
24H,seasonal,ks,var_4,2,2025-01-11 00:00:00,2025-01-20 00:00:00,9 days 00:00:00,1.0,9,True,777600.0
24H,seasonal,ks,var_5,1,2025-01-07 00:00:00,2025-01-08 00:00:00,1 days 00:00:00,0.2431876012028684,1,False,86400.0
24H,seasonal,ks,var_5,2,2025-01-09 00:00:00,2025-01-11 00:00:00,2 days 00:00:00,0.5689104788341429,2,False,172800.0
24H,seasonal,ks,var_5,3,2025-01-12 00:00:00,2025-01-15 00:00:00,3 days 00:00:00,0.2830904464492251,3,False,259200.0
24H,seasonal,ks,var_5,4,2025-01-16 00:00:00,2025-01-20 00:00:00,4 days 00:00:00,0.9951422623178349,4,True,345600.0
24H,seasonal,ks,var_6,1,2025-01-07 00:00:00,2025-01-08 00:00:00,1 days 00:00:00,0.2655563266250289,1,False,86400.0
24H,seasonal,ks,var_6,2,2025-01-09 00:00:00,2025-01-10 00:00:00,1 days 00:00:00,0.2529146426092991,1,False,86400.0
24H,seasonal,ks,var_6,3,2025-01-11 00:00:00,2025-01-20 00:00:00,9 days 00:00:00,0.9951422623178349,9,True,777600.0
24H,seasonal,ks,var_7,1,2025-01-02 00:00:00,2025-01-10 00:00:00,8 days 00:00:00,0.7688642146657414,8,True,691200.0
24H,seasonal,ks,var_7,2,2025-01-12 00:00:00,2025-01-20 00:00:00,8 days 00:00:00,0.9500346981263011,8,True,691200.0
24H,seasonal,ks,var_8,1,2025-01-07 00:00:00,2025-01-09 00:00:00,2 days 00:00:00,0.3426324311820495,2,False,172800.0
24H,seasonal,ks,var_8,2,2025-01-10 00:00:00,2025-01-20 00:00:00,10 days 00:00:00,1.0,10,True,864000.0
24H,seasonal,ks,var_9,1,2025-01-07 00:00:00,2025-01-09 00:00:00,2 days 00:00:00,0.470205875549387,2,False,172800.0
24H,seasonal,ks,var_9,2,2025-01-11 00:00:00,2025-01-20 00:00:00,9 days 00:00:00,0.963208420078649,9,True,777600.0
24H,seasonal,psi,var_1,1,2025-01-08 00:00:00,2025-01-09 00:00:00,1 days 00:00:00,0.38924163275764184,1,False,86400.0
24H,seasonal,psi,var_1,2,2025-01-14 00:00:00,2025-01-20 00:00:00,6 days 00:00:00,12.433835163691871,6,True,518400.0
24H,seasonal,psi,var_10,1,2025-01-06 00:00:00,2025-01-20 00:00:00,14 days 00:00:00,inf,14,True,1209600.0
24H,seasonal,psi,var_2,1,2025-01-11 00:00:00,2025-01-13 00:00:00,2 days 00:00:00,1.0352102942584345,2,False,172800.0
24H,seasonal,psi,var_2,2,2025-01-16 00:00:00,2025-01-20 00:00:00,4 days 00:00:00,12.433835163691871,4,True,345600.0
24H,seasonal,psi,var_3,1,2025-01-08 00:00:00,2025-01-09 00:00:00,1 days 00:00:00,0.5428981327397194,1,False,86400.0
24H,seasonal,psi,var_3,2,2025-01-11 00:00:00,2025-01-12 00:00:00,1 days 00:00:00,0.3475995212357771,1,False,86400.0
24H,seasonal,psi,var_3,3,2025-01-13 00:00:00,2025-01-14 00:00:00,1 days 00:00:00,0.3250679211806017,1,False,86400.0
24H,seasonal,psi,var_3,4,2025-01-15 00:00:00,2025-01-20 00:00:00,5 days 00:00:00,inf,5,True,432000.0
24H,seasonal,psi,var_4,1,2025-01-08 00:00:00,2025-01-09 00:00:00,1 days 00:00:00,1.7872206464825526,1,False,86400.0
24H,seasonal,psi,var_4,2,2025-01-11 00:00:00,2025-01-20 00:00:00,9 days 00:00:00,inf,9,True,777600.0
24H,seasonal,psi,var_5,1,2025-01-07 00:00:00,2025-01-08 00:00:00,1 days 00:00:00,0.4174137671144654,1,False,86400.0
24H,seasonal,psi,var_5,2,2025-01-09 00:00:00,2025-01-11 00:00:00,2 days 00:00:00,1.2855808977721481,2,False,172800.0
24H,seasonal,psi,var_5,3,2025-01-13 00:00:00,2025-01-14 00:00:00,1 days 00:00:00,0.3781425768392116,1,False,86400.0
24H,seasonal,psi,var_5,4,2025-01-16 00:00:00,2025-01-20 00:00:00,4 days 00:00:00,12.433835163691871,4,True,345600.0
24H,seasonal,psi,var_6,1,2025-01-07 00:00:00,2025-01-08 00:00:00,1 days 00:00:00,0.4887535969324415,1,False,86400.0
24H,seasonal,psi,var_6,2,2025-01-09 00:00:00,2025-01-10 00:00:00,1 days 00:00:00,0.37029484824702147,1,False,86400.0
24H,seasonal,psi,var_6,3,2025-01-12 00:00:00,2025-01-20 00:00:00,8 days 00:00:00,12.433835163691871,8,True,691200.0
24H,seasonal,psi,var_7,1,2025-01-02 00:00:00,2025-01-09 00:00:00,7 days 00:00:00,2.7868282211106026,7,True,604800.0
24H,seasonal,psi,var_7,2,2025-01-13 00:00:00,2025-01-20 00:00:00,7 days 00:00:00,10.353734710747467,7,True,604800.0
24H,seasonal,psi,var_8,1,2025-01-07 00:00:00,2025-01-09 00:00:00,2 days 00:00:00,0.5636169746770601,2,False,172800.0
24H,seasonal,psi,var_8,2,2025-01-10 00:00:00,2025-01-20 00:00:00,10 days 00:00:00,inf,10,True,864000.0
24H,seasonal,psi,var_9,1,2025-01-07 00:00:00,2025-01-09 00:00:00,2 days 00:00:00,1.2264728222957784,2,False,172800.0
24H,seasonal,psi,var_9,2,2025-01-11 00:00:00,2025-01-20 00:00:00,9 days 00:00:00,12.433835163691871,9,True,777600.0
24H,seasonal,wasserstein,var_1,1,2025-01-12 00:00:00,2025-01-20 00:00:00,8 days 00:00:00,3.2618152880000575,8,True,691200.0
24H,seasonal,wasserstein,var_10,1,2025-01-06 00:00:00,2025-01-20 00:00:00,14 days 00:00:00,4.626587697632545,14,True,1209600.0
24H,seasonal,wasserstein,var_2,1,2025-01-12 00:00:00,2025-01-13 00:00:00,1 days 00:00:00,0.49811540661706,1,False,86400.0
24H,seasonal,wasserstein,var_2,2,2025-01-16 00:00:00,2025-01-20 00:00:00,4 days 00:00:00,2.613389619034769,4,True,345600.0
24H,seasonal,wasserstein,var_3,1,2025-01-10 00:00:00,2025-01-11 00:00:00,1 days 00:00:00,0.2580782839413679,1,False,86400.0
24H,seasonal,wasserstein,var_3,2,2025-01-12 00:00:00,2025-01-14 00:00:00,2 days 00:00:00,0.21757639493581113,2,False,172800.0
24H,seasonal,wasserstein,var_3,3,2025-01-15 00:00:00,2025-01-20 00:00:00,5 days 00:00:00,2.519342666838297,5,True,432000.0
24H,seasonal,wasserstein,var_4,1,2025-01-08 00:00:00,2025-01-09 00:00:00,1 days 00:00:00,0.47849845585662615,1,False,86400.0
24H,seasonal,wasserstein,var_4,2,2025-01-11 00:00:00,2025-01-20 00:00:00,9 days 00:00:00,5.99351568046086,9,True,777600.0
24H,seasonal,wasserstein,var_5,1,2025-01-07 00:00:00,2025-01-08 00:00:00,1 days 00:00:00,0.28350615100593074,1,False,86400.0
24H,seasonal,wasserstein,var_5,2,2025-01-09 00:00:00,2025-01-11 00:00:00,2 days 00:00:00,0.5478264244531053,2,False,172800.0
24H,seasonal,wasserstein,var_5,3,2025-01-12 00:00:00,2025-01-13 00:00:00,1 days 00:00:00,0.24257362630235912,1,False,86400.0
24H,seasonal,wasserstein,var_5,4,2025-01-15 00:00:00,2025-01-20 00:00:00,5 days 00:00:00,2.6333737731827545,5,True,432000.0
24H,seasonal,wasserstein,var_6,1,2025-01-12 00:00:00,2025-01-20 00:00:00,8 days 00:00:00,2.5561042167135173,8,True,691200.0
24H,seasonal,wasserstein,var_7,1,2025-01-02 00:00:00,2025-01-09 00:00:00,7 days 00:00:00,1.0687581585375916,7,True,604800.0
24H,seasonal,wasserstein,var_7,2,2025-01-12 00:00:00,2025-01-20 00:00:00,8 days 00:00:00,1.9944409868113497,8,True,691200.0
24H,seasonal,wasserstein,var_8,1,2025-01-07 00:00:00,2025-01-09 00:00:00,2 days 00:00:00,0.31626721324186435,2,False,172800.0
24H,seasonal,wasserstein,var_8,2,2025-01-11 00:00:00,2025-01-20 00:00:00,9 days 00:00:00,3.1065799542270573,9,True,777600.0
24H,seasonal,wasserstein,var_9,1,2025-01-07 00:00:00,2025-01-09 00:00:00,2 days 00:00:00,0.5714423824150663,2,False,172800.0
24H,seasonal,wasserstein,var_9,2,2025-01-11 00:00:00,2025-01-20 00:00:00,9 days 00:00:00,2.3870957816416176,9,True,777600.0
36H,decay,ks,var_1,1,2025-01-13 00:00:00,2025-01-20 12:00:00,7 days 12:00:00,0.912878148475058,5,True,648000.0
36H,decay,ks,var_10,1,2025-01-05 12:00:00,2025-01-20 12:00:00,15 days 00:00:00,0.9172080375123971,10,True,1296000.0
36H,decay,ks,var_2,1,2025-01-16 00:00:00,2025-01-20 12:00:00,4 days 12:00:00,0.925507772898219,3,True,388800.0
36H,decay,ks,var_3,1,2025-01-14 12:00:00,2025-01-20 12:00:00,6 days 00:00:00,0.8891842123860969,4,True,518400.0
36H,decay,ks,var_4,1,2025-01-10 00:00:00,2025-01-20 12:00:00,10 days 12:00:00,0.9659880125331557,7,True,907200.0
36H,decay,ks,var_5,1,2025-01-16 00:00:00,2025-01-20 12:00:00,4 days 12:00:00,0.9525742594025031,3,True,388800.0
36H,decay,ks,var_6,1,2025-01-11 12:00:00,2025-01-20 12:00:00,9 days 00:00:00,0.8757472537733463,6,True,777600.0
36H,decay,ks,var_7,1,2025-01-02 12:00:00,2025-01-07 00:00:00,4 days 12:00:00,0.6757919056309393,3,True,388800.0
36H,decay,ks,var_7,2,2025-01-13 00:00:00,2025-01-20 12:00:00,7 days 12:00:00,0.7903529916895774,5,True,648000.0
36H,decay,ks,var_8,1,2025-01-14 12:00:00,2025-01-20 12:00:00,6 days 00:00:00,0.924636413751976,4,True,518400.0
36H,decay,ks,var_9,1,2025-01-11 12:00:00,2025-01-20 12:00:00,9 days 00:00:00,0.846510151575681,6,True,777600.0
36H,decay,psi,var_1,1,2025-01-13 00:00:00,2025-01-20 12:00:00,7 days 12:00:00,10.659039494257026,5,True,648000.0
36H,decay,psi,var_10,1,2025-01-05 12:00:00,2025-01-20 12:00:00,15 days 00:00:00,11.418303268698079,10,True,1296000.0
36H,decay,psi,var_2,1,2025-01-16 00:00:00,2025-01-20 12:00:00,4 days 12:00:00,11.742920516323606,3,True,388800.0
36H,decay,psi,var_3,1,2025-01-16 00:00:00,2025-01-20 12:00:00,4 days 12:00:00,11.40641014585191,3,True,388800.0
36H,decay,psi,var_4,1,2025-01-11 12:00:00,2025-01-20 12:00:00,9 days 00:00:00,11.716279483562552,6,True,777600.0
36H,decay,psi,var_5,1,2025-01-16 00:00:00,2025-01-20 12:00:00,4 days 12:00:00,11.320270907950823,3,True,388800.0
36H,decay,psi,var_6,1,2025-01-11 12:00:00,2025-01-20 12:00:00,9 days 00:00:00,9.82705321950589,6,True,777600.0
36H,decay,psi,var_7,1,2025-01-02 12:00:00,2025-01-08 12:00:00,6 days 00:00:00,2.4650233399376305,4,True,518400.0
36H,decay,psi,var_7,2,2025-01-13 00:00:00,2025-01-20 12:00:00,7 days 12:00:00,7.140310265645074,5,True,648000.0
36H,decay,psi,var_8,1,2025-01-14 12:00:00,2025-01-20 12:00:00,6 days 00:00:00,11.497446659642222,4,True,518400.0
36H,decay,psi,var_9,1,2025-01-11 12:00:00,2025-01-20 12:00:00,9 days 00:00:00,10.291302054589439,6,True,777600.0
36H,decay,wasserstein,var_1,1,2025-01-13 00:00:00,2025-01-20 12:00:00,7 days 12:00:00,2.716344343736165,5,True,648000.0
